,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
02/01/2014,27,16,1,4.7,0.4,10,5.5,0.5,
03/01/2014,24,16,1,3.6,0.4,10,3.1,0.5,
04/01/2014,20,11,1,3.7,0.4,10,Sense dades,Sense dades,
05/01/2014,8,8,1,2,0.4,10,Sense dades,0.1,
06/01/2014,10,8,1,2.1,0.4,10,Sense dades,0.1,
07/01/2014,23,14,1,6.7,0.4,20,3.9,0.5,
08/01/2014,36,22,1,9.5,0.4,20,4.1,0.7,
09/01/2014,37,27,1,11.4,0.4,20,2.8,0.7,
10/01/2014,39,29,1,5.3,0.4,20,2.2,0.3,
11/01/2014,34,24,2.2,4.4,0.4,10,Sense dades,0.3,
12/01/2014,26,20,1,3.3,0.4,20,Sense dades,0.3,
13/01/2014,17,10,1,2.6,0.4,10,Sense dades,0.2,
14/01/2014,11,8,1,2.4,0.4,10,Sense dades,Sense dades,
15/01/2014,15,9,1,2.4,0.4,10,Sense dades,0.3,
16/01/2014,24,14,1,4.4,0.4,10,Sense dades,Sense dades,
17/01/2014,16,10,1,2.8,0.4,10,Sense dades,Sense dades,
18/01/2014,25,12,2.1,3.9,0.4,10,Sense dades,0.3,
19/01/2014,12,8,1,2,0.4,10,Sense dades,Sense dades,
20/01/2014,8,8,1,2,0.4,10,Sense dades,0.1,
21/01/2014,14,8,1,2.1,0.4,10,2.8,Sense dades,
22/01/2014,30,22,1.3,5.6,0.5,20,2.4,1.3,
23/01/2014,20,15,1,4.3,0.4,10,2.3,Sense dades,
24/01/2014,17,10,1,2.6,0.4,10,1.9,Sense dades,
25/01/2014,26,14,1,4.4,0.4,20,Sense dades,0.6,
26/01/2014,16,10,1,2.9,0.4,10,Sense dades,Sense dades,
27/01/2014,14,9,1,2,0.4,10,Sense dades,0.2,
28/01/2014,9,8,1,2,0.4,10,1.1,Sense dades,
29/01/2014,18,16,1,2.6,0.4,10,1.5,0.2,
30/01/2014,13,11,1,2,0.4,10,Sense dades,Sense dades,
31/01/2014,18,10,1,2,0.4,10,2.3,Sense dades,
01/02/2014,32,21,1,3.8,0.4,10,Sense dades,0.9,
02/02/2014,8,8,1,2,0.4,10,Sense dades,Sense dades,
03/02/2014,17,11,1,4.2,0.4,10,1.8,0.3,
04/02/2014,17,10,1,2,0.4,10,1.7,Sense dades,
05/02/2014,19,8,1,2,0.4,10,1.6,0.1,
06/02/2014,21,9,1,3.8,0.4,10,1.5,Sense dades,
07/02/2014,14,8,1,2,0.4,10,1.4,Sense dades,
08/02/2014,Sense dades,8,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
09/02/2014,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
10/02/2014,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,1.4,Sense dades,
11/02/2014,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,1.2,Sense dades,
12/02/2014,14,8,1,2,0.4,10,1.6,0.1,
13/02/2014,16,8,1,2,0.4,10,1.6,Sense dades,
14/02/2014,28,9,1,2.8,0.4,10,2.4,Sense dades,
15/02/2014,24,13,1,4,0.4,20,Sense dades,0.2,
16/02/2014,9,8,1,2,0.4,10,Sense dades,Sense dades,
17/02/2014,18,12,1,5.1,0.4,10,1.9,0.2,
18/02/2014,27,12,1,3.1,0.4,10,1.4,Sense dades,
19/02/2014,32,18,1,3.3,0.4,10,1.7,0.2,
20/02/2014,25,14,1,3.5,0.4,10,1.9,Sense dades,
21/02/2014,23,12,1,3.1,0.4,10,1.6,Sense dades,
22/02/2014,19,12,1,2,0.4,10,Sense dades,0.3,
23/02/2014,24,17,1,4.3,0.4,10,Sense dades,Sense dades,
24/02/2014,23,14,1,3,0.4,10,1.9,0.3,
25/02/2014,28,17,1,5.5,0.4,10,1.8,Sense dades,
26/02/2014,15,8,1,2,0.4,10,1.3,0.2,
27/02/2014,20,12,1,2.5,0.4,10,2.4,Sense dades,
28/02/2014,24,18,1,2,0.4,10,1.7,Sense dades,
01/03/2014,8,8,1,2,0.4,10,Sense dades,0.1,
02/03/2014,13,8,1,2,0.4,10,Sense dades,Sense dades,
03/03/2014,32,28,1,2.5,0.4,10,1.4,0.1,
04/03/2014,13,9,1,2,0.4,10,1.7,Sense dades,
05/03/2014,16,8,1,3.6,0.4,10,2.2,0.2,
06/03/2014,28,15,1,5.3,0.4,10,1.8,Sense dades,
07/03/2014,31,18,1,6.1,0.4,10,2.4,Sense dades,
08/03/2014,37,28,1,5.4,0.4,20,Sense dades,0.2,
09/03/2014,27,20,1,2.6,0.4,10,Sense dades,Sense dades,
10/03/2014,34,21,1,3.8,0.4,10,2,0.3,
11/03/2014,33,19,1,4.8,0.5,10,1.9,Sense dades,
12/03/2014,40,23,1,3.4,0.4,10,1.4,0.1,
13/03/2014,29,16,1,2.8,0.4,10,1.5,Sense dades,
14/03/2014,44,26,1,5.1,0.5,20,2.5,Sense dades,
15/03/2014,54,34,1.2,6.7,0.4,10,Sense dades,0.2,
16/03/2014,39,24,1,4,0.4,10,Sense dades,Sense dades,
17/03/2014,44,27,1,7,0.4,20,2,0.2,
18/03/2014,36,20,1,7.8,0.4,10,1.4,Sense dades,
19/03/2014,43,28,1,8.1,0.4,10,1.6,0,
20/03/2014,36,22,1,6.7,0.4,10,1.2,Sense dades,
21/03/2014,40,26,1,7.4,0.4,10,1.2,Sense dades,
22/03/2014,31,20,1,5.7,0.4,10,Sense dades,0,
23/03/2014,13,Sense dades,1,2,0.4,10,Sense dades,Sense dades,
24/03/2014,17,13,1,2,0.4,10,0.9,0,
25/03/2014,21,17,1,2,0.4,10,0.8,Sense dades,
26/03/2014,13,9,1,2,0.4,10,1,0,
27/03/2014,17,12,1,2,0.4,10,1.7,Sense dades,
28/03/2014,22,11,1,2.6,0.9,10,1,Sense dades,
29/03/2014,27,20,1,2,0.4,10,Sense dades,0,
30/03/2014,25,8,1,2,0.4,10,Sense dades,Sense dades,
31/03/2014,40,14,1,4.1,0.6,10,1,0,
01/04/2014,41,18,1,5.8,0.6,10,1.1,Sense dades,
02/04/2014,37,15,1,3.9,0.4,10,1.2,0,
03/04/2014,Sense dades,14,Sense dades,Sense dades,Sense dades,Sense dades,0.8,Sense dades,
04/04/2014,13,9,1,2,0.4,10,1.3,Sense dades,
05/04/2014,20,11,1,3.4,0.4,10,Sense dades,0,
06/04/2014,18,12,1,3.2,0.4,10,Sense dades,Sense dades,
07/04/2014,26,16,1,4.9,0.4,10,1.2,0.1,
08/04/2014,22,16,1,5.9,0.4,10,1,Sense dades,
09/04/2014,25,17,1,4,0.4,10,1.8,0.1,
10/04/2014,28,16,1,6.3,0.4,10,1.4,Sense dades,
11/04/2014,25,13,1,6.8,0.4,10,1.3,Sense dades,
12/04/2014,20,13,1,3.9,0.4,10,Sense dades,0,
13/04/2014,29,22,1,7.6,0.4,30,Sense dades,Sense dades,
14/04/2014,28,20,1,5.9,0.4,10,1.4,0,
15/04/2014,24,18,1,6.3,0.4,10,1,Sense dades,
16/04/2014,24,14,1,3.9,0.4,10,1.1,0,
17/04/2014,22,11,1,5.1,0.4,20,1.2,Sense dades,
18/04/2014,30,20,1,4.7,0.4,10,Sense dades,Sense dades,
19/04/2014,22,14,1,2,0.4,10,Sense dades,0,
20/04/2014,12,8,1,2.5,0.4,10,Sense dades,Sense dades,
21/04/2014,10,Sense dades,1,4.4,0.4,10,Sense dades,0,
22/04/2014,11,8,1,2.3,0.4,10,1.1,Sense dades,
23/04/2014,23,21,1,5,0.4,10,1.2,0.1,
24/04/2014,22,16,1,6.6,0.4,10,1.1,Sense dades,
25/04/2014,21,Sense dades,1,2.9,0.4,10,1.2,Sense dades,
26/04/2014,22,Sense dades,1,2.4,0.4,10,Sense dades,0,
27/04/2014,19,10,1,2,0.4,10,Sense dades,Sense dades,
28/04/2014,20,10,1,2.1,0.4,10,1,0,
29/04/2014,22,11,1,3.2,0.4,10,1.2,Sense dades,
30/04/2014,22,12,1,3.3,0.4,10,1.1,0,
01/05/2014,20,8,1,4.8,0.4,10,Sense dades,Sense dades,
02/05/2014,20,8,1,2.8,0.4,10,Sense dades,Sense dades,
03/05/2014,22,11,1,2.4,0.4,10,Sense dades,0,
04/05/2014,24,12,1,3,0.4,10,Sense dades,Sense dades,
05/05/2014,24,Sense dades,1,6.9,0.4,10,1.5,0,
06/05/2014,24,12,1,5.2,0.4,10,1.6,Sense dades,
07/05/2014,23,10,1,6.1,0.4,10,1.6,0,
08/05/2014,33,18,1,8.3,0.4,10,1.2,Sense dades,
09/05/2014,31,18,1,9.6,0.4,10,1.8,Sense dades,
10/05/2014,37,22,1,8.2,0.4,10,Sense dades,0.1,
11/05/2014,19,12,1,8.7,0.4,10,Sense dades,Sense dades,
12/05/2014,23,8,1,3.1,0.4,10,0.6,0,
13/05/2014,12,8,1,2,0.4,10,0.6,Sense dades,
14/05/2014,22,12,1,5.6,0.4,10,0.9,0,
15/05/2014,25,13,1,6.6,0.4,10,0.9,Sense dades,
16/05/2014,26,14,1,4.6,0.4,40,Sense dades,0,
17/05/2014,18,10,1,3,0.4,10,Sense dades,Sense dades,
18/05/2014,18,8,1,3.2,0.4,10,Sense dades,Sense dades,
19/05/2014,19,9,1,3.5,0.4,10,0.6,0,
20/05/2014,22,12,1,2.5,0.4,10,0.5,Sense dades,
21/05/2014,42,16,1,5.3,0.4,10,0.6,0,
22/05/2014,28,24,1,4.9,0.4,10,1,Sense dades,
23/05/2014,23,16,1,4.1,0.4,10,1.2,Sense dades,
24/05/2014,12,8,1,2,0.4,10,Sense dades,0,
25/05/2014,14,9,1,4,0.4,10,Sense dades,Sense dades,
26/05/2014,12,11,1,2.1,0.4,10,0.7,0,
27/05/2014,16,11,1,4.6,0.4,10,0.6,Sense dades,
28/05/2014,18,10,1,2.2,0.4,10,0.4,0,
29/05/2014,16,15,1,2.2,0.4,10,0.8,Sense dades,
30/05/2014,20,16,1,3.5,0.5,30,1,Sense dades,
31/05/2014,14,11,1,2.7,0.4,10,Sense dades,0.1,
01/06/2014,18,12,1,5.8,0.4,10,Sense dades,Sense dades,
02/06/2014,21,14,1,3.9,0.4,10,0.8,0,
03/06/2014,21,15,1,5.4,0.4,10,0.4,Sense dades,
04/06/2014,24,13,1,6.8,0.4,10,0.9,0,
05/06/2014,21,8,1,2.8,0.4,10,0.8,Sense dades,
06/06/2014,26,14,1,6.6,0.4,10,0.7,Sense dades,
07/06/2014,23,14,1,5.3,0.4,10,Sense dades,0,
08/06/2014,31,17,1,6,0.4,10,Sense dades,Sense dades,
09/06/2014,33,16,1,4.5,0.4,10,Sense dades,0.1,
10/06/2014,30,17,1,6.6,0.4,10,0.7,Sense dades,
11/06/2014,35,20,1,9.9,0.4,10,0.8,0,
12/06/2014,54,26,1.5,11.4,0.5,10,1.6,Sense dades,
13/06/2014,51,28,1,8.9,0.4,10,2.4,Sense dades,
14/06/2014,27,19,1,4.3,0.4,10,Sense dades,0,
15/06/2014,20,12,1,2.8,0.4,10,Sense dades,Sense dades,
16/06/2014,26,16,1,3.3,0.4,10,1.6,0,
17/06/2014,26,17,1,5.3,0.4,10,0.9,Sense dades,
18/06/2014,18,14,1,5.7,0.4,10,0.7,0,
19/06/2014,18,14,1,3.7,0.4,10,1.4,Sense dades,
20/06/2014,27,20,1,9.8,0.4,10,1.8,Sense dades,
21/06/2014,19,13,1,4,0.4,10,Sense dades,0,
22/06/2014,23,12,1,4.7,0.4,10,Sense dades,Sense dades,
23/06/2014,39,21,1,6.3,0.4,30,Sense dades,0,
24/06/2014,32,21,1,4.8,0.4,20,Sense dades,0,
25/06/2014,18,12,1,2.3,0.4,10,1,0,
26/06/2014,28,21,1,5.2,0.4,20,1,Sense dades,
27/06/2014,24,15,1,6.7,0.4,10,0.5,Sense dades,
28/06/2014,28,16,1,7.6,0.4,10,Sense dades,0,
29/06/2014,23,13,1,2,0.4,10,Sense dades,Sense dades,
30/06/2014,19,13,1,2.4,0.4,10,1.1,0,
01/07/2014,20,8,1,2.7,0.4,10,0.4,Sense dades,
02/07/2014,24,9,1,2.1,0.4,10,0.7,0,
03/07/2014,28,16,1,2.1,0.4,10,0.9,Sense dades,
04/07/2014,28,Sense dades,1,3,0.4,10,1.2,Sense dades,
05/07/2014,24,Sense dades,1,7,0.4,10,Sense dades,0,
06/07/2014,24,Sense dades,1,10.1,0.4,10,Sense dades,Sense dades,
07/07/2014,12,Sense dades,1,5.5,0.4,10,1,0,
08/07/2014,16,Sense dades,1,3.8,0.4,10,0.7,Sense dades,
09/07/2014,18,10,1,2,0.4,10,0.5,0,
10/07/2014,20,12,1,2.9,0.4,10,1.1,Sense dades,
11/07/2014,32,12,1,4,0.4,10,0.9,Sense dades,
12/07/2014,20,12,1,4.3,0.4,10,Sense dades,0,
13/07/2014,20,13,1,5.9,0.4,10,Sense dades,Sense dades,
14/07/2014,16,9,1,2.3,0.4,10,0.8,0,
15/07/2014,20,12,1,8.4,0.4,10,Sense dades,Sense dades,
16/07/2014,28,15,1,6.8,0.9,30,1.5,0,
17/07/2014,34,18,1,4.6,0.4,10,1.6,Sense dades,
18/07/2014,26,14,1,6,0.4,10,Sense dades,0,
19/07/2014,28,12,1,5,0.4,10,Sense dades,0,
20/07/2014,26,17,1,2.3,0.4,10,Sense dades,Sense dades,
21/07/2014,18,9,1,3.1,0.4,10,0.6,0,
22/07/2014,27,14,1,4.5,0.4,10,1,Sense dades,
23/07/2014,30,19,1,6.9,0.4,10,1.3,0,
24/07/2014,22,12,1,6,0.4,10,1.2,Sense dades,
25/07/2014,24,18,1,3.8,0.4,10,1.1,Sense dades,
26/07/2014,23,14,1,3.9,0.4,10,Sense dades,0,
27/07/2014,18,12,1,3.3,0.4,10,Sense dades,Sense dades,
28/07/2014,19,Sense dades,1,4.1,0.4,10,0.7,0,
29/07/2014,17,Sense dades,1,2.2,0.4,10,0.6,Sense dades,
30/07/2014,23,Sense dades,1,3.4,0.4,10,Sense dades,0,
31/07/2014,32,Sense dades,1,6.2,0.4,10,1.6,Sense dades,
01/08/2014,30,Sense dades,1,4.7,0.4,10,1.3,Sense dades,
02/08/2014,23,18,1,2,0.4,10,Sense dades,0,
03/08/2014,20,Sense dades,1,4.3,0.4,10,Sense dades,Sense dades,
04/08/2014,26,15,1,3.6,0.4,10,Sense dades,0,
05/08/2014,22,15,1,2.1,0.4,10,1.2,Sense dades,
06/08/2014,24,16,1,4.5,0.4,10,0.5,0,
07/08/2014,26,18,1,5.3,0.4,10,Sense dades,Sense dades,
08/08/2014,25,16,1,6.9,0.4,10,1,Sense dades,
09/08/2014,21,12,1,2,0.4,10,Sense dades,0,
10/08/2014,28,16,1,5.6,0.4,10,Sense dades,Sense dades,
11/08/2014,27,15,1,2.2,0.4,10,0.7,0,
12/08/2014,28,13,1,2.9,0.4,10,0.9,Sense dades,
13/08/2014,28,15,1,2,0.4,10,0.8,0,
14/08/2014,25,14,1,2,0.4,10,1,Sense dades,
15/08/2014,22,11,1,2,0.4,10,Sense dades,Sense dades,
16/08/2014,16,12,1,2,0.4,10,Sense dades,0,
17/08/2014,22,14,1,2,0.4,10,Sense dades,Sense dades,
18/08/2014,25,15,1,2.3,0.4,10,1.1,0,
19/08/2014,22,14,1,2,0.4,10,0.6,Sense dades,
20/08/2014,18,11,1,2,0.4,10,0.8,0,
21/08/2014,21,13,1,2,0.4,10,1.2,Sense dades,
22/08/2014,18,Sense dades,1,2,0.4,10,0.7,Sense dades,
23/08/2014,15,Sense dades,1,2,0.4,10,Sense dades,0,
24/08/2014,19,Sense dades,1,4.4,0.4,10,Sense dades,Sense dades,
25/08/2014,23,Sense dades,1,3.5,0.4,10,0.9,0,
26/08/2014,29,Sense dades,1,9.2,0.4,10,1.4,Sense dades,
27/08/2014,20,13,1,2.2,0.4,10,0.9,0,
28/08/2014,20,13,1,7.9,0.4,10,0.9,Sense dades,
29/08/2014,21,15,1,5.4,0.4,10,0.8,Sense dades,
30/08/2014,21,15,1,3.1,0.4,10,Sense dades,0,
31/08/2014,23,16,1,5.7,0.4,10,Sense dades,Sense dades,
01/09/2014,25,15,1,3.4,0.4,10,0.8,0,
02/09/2014,27,16,1,4.8,0.4,10,Sense dades,Sense dades,
03/09/2014,23,16,1,3.2,0.4,10,1.2,0,
04/09/2014,22,15,1,2.6,0.4,10,0.7,Sense dades,
05/09/2014,22,15,1,3.6,0.4,10,0.8,Sense dades,
06/09/2014,27,18,1,6.1,0.4,10,Sense dades,0,
07/09/2014,30,22,1,9.1,0.4,10,Sense dades,Sense dades,
08/09/2014,27,20,1,8.2,0.4,10,0.8,0,
09/09/2014,21,15,1,3.2,0.4,10,Sense dades,Sense dades,
10/09/2014,26,16,1,6,0.4,10,0.7,0,
11/09/2014,29,18,1,5.5,0.4,10,Sense dades,Sense dades,
12/09/2014,26,18,1,3,0.4,10,1.2,Sense dades,
13/09/2014,25,16,1,3,0.4,10,Sense dades,0,
14/09/2014,24,15,1,2.7,0.4,10,Sense dades,Sense dades,
15/09/2014,18,12,1,2.2,0.4,10,2,0,
16/09/2014,22,14,1,3.4,0.4,10,0.9,Sense dades,
17/09/2014,25,Sense dades,1,3,0.4,10,1.9,0,
18/09/2014,33,16,1,6.5,0.4,10,1.8,Sense dades,
19/09/2014,27,14,1,6.4,0.4,10,1.2,Sense dades,
20/09/2014,27,16,1,7.5,0.4,10,Sense dades,0.1,
21/09/2014,22,14,1,4.5,0.4,10,Sense dades,Sense dades,
22/09/2014,21,16,1,2.6,0.4,10,1.4,0.1,
23/09/2014,16,12,1,2.1,0.4,10,Sense dades,Sense dades,
24/09/2014,22,16,1,4.1,0.4,10,Sense dades,0,
25/09/2014,35,27,1,2.3,0.4,10,Sense dades,Sense dades,
26/09/2014,32,24,1,3.7,0.4,25,1.7,Sense dades,
27/09/2014,25,19,1,2.4,0.4,10,1.2,0,
28/09/2014,17,Sense dades,1,2,0.4,10,Sense dades,Sense dades,
29/09/2014,20,11,1,2.1,0.4,10,Sense dades,Sense dades,
30/09/2014,20,11,1,2.1,0.4,10,1.7,0.1,
01/10/2014,27,17,1,6.8,0.4,10,2,Sense dades,
02/10/2014,29,19,1,5.1,0.4,10,1.5,Sense dades,
03/10/2014,27,18,1,3.8,0.4,10,1.2,0.1,
04/10/2014,28,19,1,4.8,0.4,10,Sense dades,Sense dades,
05/10/2014,16,9,1,2,0.4,10,Sense dades,0,
06/10/2014,25,14,1,2.3,0.4,10,2,Sense dades,
07/10/2014,36,22,1,7.4,0.4,10,2.3,Sense dades,
08/10/2014,35,19,1,6.3,0.4,10,3,0.1,
09/10/2014,38,21,1,8.6,0.4,10,1.8,Sense dades,
10/10/2014,37,19,1,8,0.4,10,1.7,Sense dades,
11/10/2014,18,11,1,2.9,0.4,10,Sense dades,0,
12/10/2014,19,11,1,3.5,0.4,10,Sense dades,Sense dades,
13/10/2014,24,14,1,2.4,0.4,10,1.5,0.1,
14/10/2014,24,12,1,4.7,0.4,10,1.5,Sense dades,
15/10/2014,23,14,1,2.6,0.4,10,1.7,0.1,
16/10/2014,24,14,1,2.7,0.4,10,2,Sense dades,
17/10/2014,27,14,1,4.1,0.4,10,2.2,Sense dades,
18/10/2014,30,17,1,8.9,0.4,10,Sense dades,0.1,
19/10/2014,36,16,1,4,0.4,10,Sense dades,Sense dades,
20/10/2014,64,27,1,7.3,0.4,15.7,3.5,0.2,
21/10/2014,58,25,1,7.7,0.4,10,Sense dades,Sense dades,
22/10/2014,38,16,1,3.6,0.4,10,1.9,0.1,
23/10/2014,39,18,1,3.3,0.4,10,2.4,Sense dades,
24/10/2014,49,22,1,6.8,0.4,12.3,4.2,Sense dades,
25/10/2014,40,18,1,5.1,0.4,10,Sense dades,0.1,
26/10/2014,29,15,1,2.4,0.4,10,Sense dades,Sense dades,
27/10/2014,28,17,1,2,0.4,10,2.2,0.1,
28/10/2014,26,16,1,2.5,0.4,10,1.6,Sense dades,
29/10/2014,30,16,1,4.8,0.4,10,2.3,0.2,
30/10/2014,44,26,1,6,0.4,11.6,2,Sense dades,
31/10/2014,39,24,1,4.7,0.4,13.4,Sense dades,Sense dades,
01/11/2014,32,18,1,4.7,0.4,10,Sense dades,0.1,
02/11/2014,34,21,1,6.1,0.4,10,Sense dades,Sense dades,
03/11/2014,27,15,1,4.4,0.4,10,1.6,0.1,
04/11/2014,19,13,1,2,0.4,10,1.2,Sense dades,
05/11/2014,18,13,1,2.1,0.4,10,1.3,0.2,
06/11/2014,19,14,1,2.3,0.4,10,2.4,Sense dades,
07/11/2014,23,14,1,3.9,0.4,10,2.3,Sense dades,
08/11/2014,22,15,1,2.7,0.4,10,Sense dades,0.3,
09/11/2014,18,12,1,3.3,0.4,10,Sense dades,Sense dades,
10/11/2014,23,15,1,3.3,0.4,10,1.2,0.4,
11/11/2014,28,19,1,4.9,0.4,10.1,2.5,Sense dades,
12/11/2014,17,16,1,2.5,0.4,12,2.7,0.3,
13/11/2014,25,16,1,2.4,0.4,10,1.1,Sense dades,
14/11/2014,40,24,1,7.1,0.4,11.6,3.5,Sense dades,
15/11/2014,16,14,1,2,0.4,10,Sense dades,0.2,
16/11/2014,11,9,1,2,0.4,10,Sense dades,Sense dades,
17/11/2014,17,12,1,2.2,0.4,12.9,1.6,0.2,
18/11/2014,22,13,1,2.3,0.4,13.9,1.7,Sense dades,
19/11/2014,27,17,1,2.4,0.4,10,1.9,0.4,
20/11/2014,35,22,1,3.9,0.4,29.7,1.9,Sense dades,
21/11/2014,33,18,1,4.1,0.4,18.6,Sense dades,Sense dades,
22/11/2014,44,24,1,4,0.6,24.4,2.2,0.4,
23/11/2014,39,17,1,3.1,0.4,27.1,Sense dades,Sense dades,
24/11/2014,43,18,1,3.6,0.4,10,2.1,0.2,
25/11/2014,51,16,1,6.1,0.4,15.9,1.2,Sense dades,
26/11/2014,48,16,1,5.8,0.4,10,2.2,0.4,
27/11/2014,23,14,1,3.4,0.4,18.5,Sense dades,Sense dades,
28/11/2014,41,11,1,2.5,0.4,10,Sense dades,Sense dades,
29/11/2014,60,14,1,1.9,0.4,10,0.9,0,
30/11/2014,93,28,1,3.3,0.4,10,Sense dades,Sense dades,
01/12/2014,25,13,1,2,0.4,10,1.4,0.2,
02/12/2014,18,11,1,2,0.4,20.4,1.6,Sense dades,
03/12/2014,17,11,1,2,0.4,10,Sense dades,0.2,
04/12/2014,14,9,1,2,0.4,10,1.4,Sense dades,
05/12/2014,15,10,1,2,0.4,12.3,2.4,Sense dades,
06/12/2014,18,13,1,2,0.4,18.4,Sense dades,0.3,
07/12/2014,12,9,1,2,0.4,10,Sense dades,Sense dades,
08/12/2014,13,9,1,2,0.4,10,Sense dades,0.2,
09/12/2014,18,11,1,2,0.4,10,Sense dades,Sense dades,
10/12/2014,16,Sense dades,1,2,0.4,10,Sense dades,0.2,
11/12/2014,27,Sense dades,2.6,4.4,0.4,10,2.5,Sense dades,
12/12/2014,31,18,1.3,3.5,0.4,10,2.6,Sense dades,
13/12/2014,42,24,1,5.7,0.4,14.8,Sense dades,1,
14/12/2014,38,33,1,5.2,0.4,13.3,Sense dades,Sense dades,
15/12/2014,14,9,1,2,0.4,10,Sense dades,0.3,
16/12/2014,16,Sense dades,1,2,0.4,10,2.5,Sense dades,
17/12/2014,24,16,1,2.2,0.4,10,3.9,0.5,
18/12/2014,20,14,1,2.2,0.4,10,Sense dades,Sense dades,
19/12/2014,17,13,1,2,0.4,10,1.1,Sense dades,
20/12/2014,15,12,1,2,0.4,10,Sense dades,0.1,
21/12/2014,12,9,1,2,0.4,10,Sense dades,Sense dades,
22/12/2014,34,23,1,4.2,0.4,10,2.2,0.8,
23/12/2014,42,28,1,5.5,0.4,15,2.9,Sense dades,
24/12/2014,35,27,1,5,0.4,12.3,2.6,1.1,
25/12/2014,18,13,1,2.4,0.4,10,Sense dades,Sense dades,
26/12/2014,13,11,1,2,0.4,10,Sense dades,Sense dades,
27/12/2014,21,14,1,2,0.4,10,Sense dades,0.4,
28/12/2014,15,12,1,2,0.4,10,Sense dades,Sense dades,
29/12/2014,19,12,1,2,0.4,10,1.7,0.4,
30/12/2014,16,11,1,2,0.4,10,1.4,Sense dades,
31/12/2014,28,22,1,2.5,0.4,10,3.7,0.9,
01/01/2015,28,20,1,2,0.4,10,Sense dades,Sense dades,
